herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max
Banff,2008,0,NA,NA,0,0,0,0
Banff,2007,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Banff,2006,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Banff,2005,6,NA,NA,0,7.439315303725545,6.45397315677602,8.779736864448097
Banff,2004,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Banff,2003,4,NA,NA,0,4.95954353581703,4.302648771184013,5.853157909632065
Banff,2002,2,NA,NA,0,2.479771767908515,2.1513243855920066,2.9265789548160326
Banff,2001,4,NA,NA,0,4.95954353581703,4.302648771184013,5.853157909632065
Banff,2000,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Banff,1999,3,NA,NA,0,3.7196576518627724,3.22698657838801,4.389868432224048
Banff,1996,8,NA,NA,0,9.91908707163406,8.605297542368026,11.70631581926413
Banff,1995,17,NA,NA,0,21.078060027222378,18.286257277532055,24.875921115936276
Banff,1994,19,NA,NA,0,23.55783179513089,20.437581663124064,27.80250007075231
Banff,1992,24,NA,NA,0,29.75726121490218,25.81589262710408,35.11894745779239
Banff,1989,22,NA,NA,0,27.277489446993663,23.66456824151207,32.19236850297636
Banff,1986,29,NA,NA,0,35.956690634673464,31.194203591084097,42.43539484483247
Barkerville,2020,46,NA,NA,0,57.03475066189584,49.480460868616156,67.31131596076875
Barkerville,2018,41,NA,NA,0,50.83532124212456,44.102149904636136,59.99486857372867
Barkerville,2016,51,NA,NA,0,63.23418008166713,54.85877183259617,74.62776334780882
Barkerville,2012,75,NA,NA,0,92.9914412965693,80.67466445970025,109.74671080560123
Barkerville,2011,60,NA,NA,0,74.39315303725544,64.5397315677602,87.79736864448098
Barkerville,2006,51,0.8571428571428571,0.13226001425322165,0,59.5,47.45551257348263,79.73796258096192
Barkerville,2005,44,1,0.13778527025435772,0,44,35.870459002655004,56.894303058561775
Barkerville,2004,32,0.5714285714285714,0.1870439059165649,0,56,36.4013721739017,121.31808944679824
Barkerville,2002,41,0.6666666666666666,0.19245008972987526,0,61.5,41.699797801907266,117.10433430883076
Barkerville,2001,35,1,0.27498212801249905,0,35,24.09963167940828,63.90410478595956
Barkerville,2000,38,0.6666666666666666,0.2721655269759087,0,57,34.100959888524564,173.51978520934685
Barkerville,1997,50,1,0.3589966972391642,0,50,31.43673978578389,122.09884519184197
Barkerville,1994,39,1,0.35829055544644395,0,39,24.538576912353967,94.96773754066834
Barkerville,1992,27,NA,NA,0,33.47691886676495,29.04287920549209,39.50881589001644
Barkerville,1991,31,NA,NA,0,38.43646240258198,33.3455279766761,45.3619737996485
Barkerville,1989,37,NA,NA,0,45.875777706307524,39.799501133452125,54.1417106640966
Barkerville,1988,38,NA,NA,0,47.11566359026178,40.87516332624813,55.60500014150462
Barkerville,1987,33,NA,NA,0,40.9162341704905,35.49685236226811,48.28855275446454
Brazeau,2020,7,NA,NA,0,8.679201187679801,7.529635349572024,10.243026341856114
Brazeau,2019,8,NA,NA,0,9.91908707163406,8.605297542368026,11.70631581926413
Brazeau,2018,10,NA,NA,0,12.398858839542575,10.756621927960033,14.632894774080162
Brazeau,2017,8,NA,NA,0,9.91908707163406,8.605297542368026,11.70631581926413
Brazeau,2016,7,NA,NA,0,8.679201187679801,7.529635349572024,10.243026341856114
Brazeau,2015,12,1,0,0,12,12,12
Brazeau,2014,9,0.99,0.07486035635450085,1,9.090909090909092,8.085279524234005,10.382228156763828
Brazeau,2013,13,0.99,0.07486035635450085,1,13.131313131313131,11.678737090560231,14.996551781992196
Brazeau,2012,12,0.99,0.07486035635450085,1,12.121212121212121,10.780372698978674,13.842970875685102
Brazeau,2011,11,1,0.21120261372446045,0,11,8.1638916436173,16.855566985045797
Brazeau,2010,6,0.6666666666666666,0.2721655269759087,0,9,5.384362087661774,27.39786082252845
Brazeau,2009,9,1,0.27106790873225395,0,9,6.224643010327819,16.241560356975498
Brazeau,2008,13,1,0.21980275419282286,0,13,9.547993856148832,20.361576497199135
Brazeau,2007,20,1,0.17919808021279623,0,20,15.4469502185801,28.35889736221379
Brazeau,2006,17,0.8,0.17888543819998315,0,21.25,15.535901135438786,33.61276169313237
Brazeau,2005,24,1,0.27460571222404506,0,24,16.532509875357015,43.770476835123816
Brazeau,2004,17,0.5,0.3535533905932738,0,34,15.718294223145932,-208.48076572561504
Brazeau,2003,16,1,0,0,16,16,16
Brazeau,2001,6,NA,NA,0,7.439315303725545,6.45397315677602,8.779736864448097
Brazeau,2000,14,NA,NA,0,17.358402375359603,15.059270699144047,20.486052683712227
Brazeau,1998,16,NA,NA,0,19.83817414326812,17.210595084736052,23.41263163852826
Brazeau,1996,8,NA,NA,0,9.91908707163406,8.605297542368026,11.70631581926413
Brazeau,1993,31,NA,NA,0,38.43646240258198,33.3455279766761,45.3619737996485
Brazeau,1988,39,0.99,0.07486035635450085,1,39.39393939393939,35.03621127168069,44.98965534597659
Burnt Pine,2014,1,NA,NA,0,1.2398858839542575,1.0756621927960033,1.4632894774080163
Burnt Pine,2012,1,1,0,0,1,1,1
Burnt Pine,2011,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Burnt Pine,2008,13,1,0,0,13,13,13
Burnt Pine,2002,20,NA,NA,0,24.79771767908515,21.513243855920066,29.265789548160324
Central Rockies,2008,3,NA,NA,0,3.7196576518627724,3.22698657838801,4.389868432224048
Central Rockies,2006,2,0.99,0.07486035635450085,1,2.0202020202020203,1.7967287831631125,2.3071618126141837
Central Rockies,2004,1,0.99,0.07486035635450085,1,1.0101010101010102,0.8983643915815562,1.1535809063070919
Central Rockies,2002,5,1,0,0,5,5,5
Central Rockies,1997,21,0.99,0.07486035635450085,1,21.21212121212121,18.86565222321268,24.22519903244893
Central Rockies,1995,25,0.99,0.07486035635450085,1,25.252525252525253,22.459109789538907,28.8395226576773
Charlotte Alplands,2020,24,NA,NA,0,29.75726121490218,25.81589262710408,35.11894745779239
Charlotte Alplands,2001,23,NA,NA,0,28.51737533094792,24.740230434308078,33.655657980384376
Charlotte Alplands,2000,12,NA,NA,0,14.87863060745109,12.90794631355204,17.559473728896194
Charlotte Alplands,1999,39,NA,NA,0,48.35554947421604,41.95082551904413,57.06828961891264
Charlotte Alplands,1998,30,NA,NA,0,37.19657651862772,32.2698657838801,43.89868432224049
Charlotte Alplands,1993,53,NA,NA,0,65.71395184957565,57.010096218188174,77.55434230262486
Charlotte Alplands,1991,52,1,0.18170133564554586,0,52,40.03475503508619,74.166141718187
Chase,2021,393.9677419354839,0.7419354838709677,0.07858983387512676,0,531,452.21068147403497,643.0373183981591
Chase,2019,487.88235294117646,0.8529411764705882,0.060738718621252456,0,572,512.0257721791828,647.887935218095
Chase,2009,475,1,0.05307951317287365,0,475,436.85880275146485,520.438346446232
Chase,2008,538.2857142857142,0.8571428571428571,0.13226001425322165,0,628,500.8749898512116,841.6040420309929
Chase,2007,436.3333333333333,0.7777777777777778,0.13857990321384966,0,561,433.8512997320719,793.5719474661537
Quintette,2008,173,0.99,0.07486035635450085,1,174.74747474747474,155.41703974360922,199.5694967911269
Chase,2002,575,1,0.0933349956951914,0,575,498.4733418770427,679.2852808539805
Columbia North,2021,158,0.8571428571428571,0.09352195295828246,0,184.33333333333334,156.28517011882238,224.65095727059608
Columbia North,2017,135,NA,NA,0,167.38459433382477,145.21439602746045,197.5440794500822
Columbia North,2013,148,NA,NA,0,183.5031108252301,159.1980045338085,216.5668426563864
Columbia North,2011,101,NA,NA,0,125.22847427938,108.64188147239634,147.79223721820964
