Herd,draft.demog.cluster_alt,draft.demog.cluster,draft.BACI.cluster,draft.sightability.cluster,BC Herd,Federal Subpopulation,Federal Local Population Unit,ECCC_Recov_Grp,COSEWIC_Grp,Heard and Vagt 1998 grouping,Survival Data,treatment,start.year,end.year,intensity,Model Status,Exclude,Comment,Source
A La Peche,AB_ALP,AB,AB,AB,A La Peche,A La Peche,A La Peche,Central Group,DU8,Northern,Yes/summarized,wolf reduction,2006,2013,low,Modeled,,Not BC,
A La Peche,AB_ALP,AB,AB,AB,A La Peche,A La Peche,A La Peche,Central Group,DU8,Northern,Yes/summarized,none,1999,2005,NA,Modeled,,Not BC,
A La Peche,AB_ALP,AB,AB,AB,A La Peche,A La Peche,A La Peche,Central Group,DU8,Northern,Yes/summarized,wolf reduction,2014,2021,NA,Modeled,,Not BC,
Banff,AB_Parks,AB,AB,RMP,Banff,Banff,Jasper/Banff,Central Group,DU8,Northern,No,none,1986,2008,NA,Ready to Model,,"Not BC // BM: Survey data ends in 2008.// CL decided to hold off adding until IPM running smooth, Banff data pretty thin",
Brazeau,AB_Parks,AB,AB,RMP,Brazeau,Brazeau,Jasper/Banff,Central Group,DU8,Northern,No,none,1988,2021,NA,,,Not BC,
Maligne,AB_Parks,AB,AB,RMP,Maligne,Maligne,Jasper/Banff,Central Group,DU8,Northern,No,none,1988,2021,NA,,,Not BC,
Narraway AB,AB_NAR,AB,AB,Cent,Narraway AB,Narraway,Narraway,Central Group,DU8,Northern,Unknown (BM) ,wolf reduction,2016,2017,low,Modeled,,,
Narraway AB,AB_NAR,AB,AB,Cent,Narraway AB,Narraway,Narraway,Central Group,DU8,Northern,Unknown (BM) ,none,2003,2015,NA,Modeled,,,
Narraway AB,AB_NAR,AB,AB,Cent,Narraway AB,Narraway,Narraway,Central Group,DU8,Northern,Unknown (BM) ,wolf reduction,2018,2021,NA,Modeled,,,
Narraway BC,AB_NAR,AB,AB,Cent,Narraway BC,Narraway,Narraway,Central Group,DU8,Northern,Yes,none,2006,2018,NA,,,"BM: I added in start and end dates, since the ""none"" treatment was already entered in the Treatment sheet. Survey data ends in 2018. Survival data is all between 2008 and 2018.",
Redrock/Prairie Creek,AB_RPC,AB,AB,AB,Redrock/Prairie Creek,Redrock/Prairie Creek,Redrock/Prairie Creek,Central Group,DU8,Northern,Yes/summarized,wolf reduction,2015,2015,low,Modeled,,Not BC,
Redrock/Prairie Creek,AB_RPC,AB,AB,AB,Redrock/Prairie Creek,Redrock/Prairie Creek,Redrock/Prairie Creek,Central Group,DU8,Northern,Yes/summarized,none,1995,2014,NA,Modeled,,Not BC,
Redrock/Prairie Creek,AB_RPC,AB,AB,AB,Redrock/Prairie Creek,Redrock/Prairie Creek,Redrock/Prairie Creek,Central Group,DU8,Northern,Yes/summarized,wolf reduction,2016,2021,NA,Modeled,,Not BC,
Tonquin,AB_TQ_IPM,AB,AB,AB,Tonquin,Tonquin,Jasper/Banff,Central Group,DU8,Northern,No,none,2003,2021,NA,,,Not BC // Using Anna Moeller's IPM data,
Burnt Pine,Peace_KZ,Peace,Peace,Cent,Burnt Pine,Burnt Pine,Pine River,Central Group,DU8,Northern,Yes,none,2002,2014,NA,Modeled,,BM: Survey data ends in 2014 and survival data ends in 2013.,
Kennedy Siding,Peace_KS,Peace,Peace,Cent,Kennedy Siding,Kennedy Siding,Pine River,Central Group,DU8,Northern,Yes,feeding,2014,2021,NA,Modeled,,,
Kennedy Siding,Peace_KS,Peace,Peace,Cent,Kennedy Siding,Kennedy Siding,Pine River,Central Group,DU8,Northern,Yes,none,1992,2013,NA,Modeled,,,
Kennedy Siding,Peace_KS,Peace,Peace,Cent,Kennedy Siding,Kennedy Siding,Pine River,Central Group,DU8,Northern,Yes,wolf reduction,2015,2021,NA,Modeled,,,
