herd,available,seen,sightability
Barkerville,37,30,0.8108108108108109
Brazeau,37,28,0.7567567567567568
Burnt Pine,2,2,1
Central Rockies,6,6,1
Charlotte Alplands,5,5,1
Chase,109,93,0.8532110091743119
Columbia North,104,95,0.9134615384615384
Columbia South,46,42,0.9130434782608695
Duncan,62,54,0.8709677419354839
Frisby-Boulder,20,17,0.85
Graham,59,19,0.3220338983050847
Groundhog,5,5,1
Hart North,125,102,0.816
Hart South,90,87,0.9666666666666667
Itcha-Ilgachuz,325,223,0.6861538461538461
Kennedy Siding,88,82,0.9318181818181818
Klinse-Za,123,116,0.943089430894309
Maligne,29,19,0.6551724137931034
Monashee,4,4,1
Nakusp,95,85,0.8947368421052632
Narrow Lake,3,3,1
North Cariboo,38,29,0.7631578947368421
Purcells Central,11,9,0.8181818181818182
Purcells South,30,25,0.8333333333333334
Quintette,113,67,0.5929203539823009
Quintette Full,50,33,0.66
Rainbows,46,38,0.8260869565217391
South Selkirks,22,17,0.7727272727272727
Takla,3,3,1
Telkwa,18,18,1
Tonquin,17,9,0.5294117647058824
Wells Gray North,145,130,0.896551724137931
Wells Gray South,12,5,0.4166666666666667
Wolverine,158,139,0.879746835443038
