herd,human,number_label
Graham,39,1
Chase,21,2
Wolverine,38,3
Takla,40,4
Telkwa,48,5
Tweedsmuir,38,6
Rainbows,25,7
Itcha-Ilgachuz,64,8
Charlotte Alplands,12,9
Klinse-Za,48,10
Scott West,73,11
Burnt Pine,80,12
Kennedy Siding,41,13
Quintette,86,14
Narraway AB,86,15
Bearhole Redwillow,54,16
Redrock/Prairie Creek,49,17
A La Peche,26,18
Maligne,7,19
Tonquin,5,20
Brazeau,3,21
Banff,5,22
Hart North,42,23
Hart South,40,24
George Mountain,83,25
Narrow Lake,86,26
North Cariboo,41,27
Barkerville,83,28
Wells Gray North,44,29
Wells Gray South,32,30
Central Rockies,26,31
Groundhog,68,32
Columbia North,42,33
Columbia South,27,34
Frisby-Boulder,48,35
Duncan,23,36
Monashee,59,37
Nakusp,42,38
Purcells Central,40,39
Purcells South,66,40
South Selkirks,54,41
