herd,year,season,type,calves,adults,recruitment
Barkerville,2020,winter,OTC,6,40,0.15
Barkerville,2018,winter,OTC,3,38,0.07894736842105263
Barkerville,2016,winter,OTC,6,45,0.13333333333333333
Barkerville,2013,winter,OTC,3,13,0.23076923076923078
Barkerville,2012,winter,OTC,9,65,0.13846153846153847
Barkerville,2011,winter,OTC,13,47,0.2765957446808511
Barkerville,2006,winter,OTC,6,45,0.13333333333333333
Barkerville,2005,winter,OTC,9,35,0.2571428571428571
Barkerville,2004,winter,OTC,3,29,0.10344827586206896
Barkerville,2002,winter,OTC,7,34,0.20588235294117646
Barkerville,2001,winter,OTC,9,26,0.34615384615384615
Barkerville,2000,winter,OTC,4,34,0.11764705882352941
Barkerville,1999,winter,OTC,5,15,0.3333333333333333
Barkerville,1998,winter,OTC,3,23,0.13043478260869565
Barkerville,1997,winter,OTC,10,40,0.25
Barkerville,1996,winter,OTC,1,14,0.07142857142857142
Barkerville,1995,winter,OTC,1,10,0.1
Barkerville,1994,winter,OTC,6,33,0.18181818181818182
Barkerville,1993,winter,OTC,5,11,0.45454545454545453
Barkerville,1992,winter,OTC,3,22,0.13636363636363635
Barkerville,1991,winter,OTC,6,25,0.24
Barkerville,1989,winter,OTC,2,35,0.05714285714285714
Barkerville,1988,winter,OTC,6,32,0.1875
Barkerville,1987,winter,OTC,1,32,0.03125
Brazeau,2021,fall,OTC,1,6,0.16666666666666666
Brazeau,2020,fall,OTC,2,6,0.3333333333333333
Brazeau,2019,fall,OTC,2,8,0.25
Brazeau,2018,fall,OTC,2,6,0.3333333333333333
Brazeau,2017,fall,OTC,2,5,0.4
Brazeau,2016,fall,OTC,3,9,0.3333333333333333
Brazeau,2015,fall,OTC,1,6,0.16666666666666666
Brazeau,2014,fall,OTC,0,3,0
Brazeau,2012,fall,OTC,3,8,0.375
Brazeau,2011,fall,OTC,1,5,0.2
Brazeau,2010,fall,OTC,2,7,0.2857142857142857
Brazeau,2009,fall,OTC,3,10,0.3
Brazeau,2008,fall,OTC,3,17,0.17647058823529413
Brazeau,2007,fall,OTC,3,14,0.21428571428571427
Brazeau,2006,fall,OTC,3,21,0.14285714285714285
Brazeau,2005,fall,OTC,4,13,0.3076923076923077
Brazeau,2004,fall,OTC,4,12,0.3333333333333333
Brazeau,2002,fall,OTC,0,6,0
Brazeau,2001,fall,OTC,3,11,0.2727272727272727
Brazeau,1999,fall,OTC,3,13,0.23076923076923078
Brazeau,1997,fall,OTC,1,7,0.14285714285714285
Brazeau,1994,fall,OTC,9,22,0.4090909090909091
Burnt Pine,2008,winter,OTC,2,11,0.18181818181818182
Burnt Pine,2002,winter,OTC,1,19,0.05263157894736842
Central Rockies,2008,winter,OTC,1,2,0.5
Central Rockies,2002,winter,OTC,0,5,0
Central Rockies,1997,winter,OTC,1,16,0.0625
Central Rockies,1995,winter,OTC,1,7,0.14285714285714285
Charlotte Alplands,2021,spring,OTC,10,14,0.7142857142857143
Charlotte Alplands,2002,spring,OTC,4,19,0.21052631578947367
Charlotte Alplands,2000,fall,OTC,3,36,0.08333333333333333
Charlotte Alplands,1999,spring,OTC,5,25,0.2
Charlotte Alplands,1994,spring,OTC,15,38,0.39473684210526316
Chase,2017,winter,OTC,24,126,0.19047619047619047
Chase,2010,winter,OTC,25,149,0.16778523489932887
Chase,2009,winter,OTC,56,315,0.17777777777777778
Chase,2008,winter,OTC,47,188,0.25
Chase,2007,winter,OTC,55,319,0.1724137931034483
Quintette,2008,winter,OTC,18,77,0.23376623376623376
Chase,2006,winter,OTC,15,48,0.3125
Chase,2002,winter,OTC,21,112,0.1875
Chase,2000,winter,OTC,14,109,0.12844036697247707
Columbia North,2021,winter,OTC,22,136,0.16176470588235295
Columbia North,2017,winter,OTC,19,116,0.16379310344827586
Columbia North,2014,winter,OTC,14,101,0.13861386138613863
Columbia North,2013,winter,OTC,21,127,0.16535433070866143
Columbia North,2011,winter,OTC,9,92,0.09782608695652174
Columbia North,2008,winter,OTC,18,106,0.16981132075471697
Columbia North,2006,winter,OTC,18,107,0.16822429906542055
Columbia North,2004,winter,OTC,18,111,0.16216216216216217
Columbia North,2002,winter,OTC,17,128,0.1328125
Columbia North,1997,winter,OTC,24,179,0.1340782122905028
Columbia North,1996,winter,OTC,32,135,0.23703703703703705
Columbia North,1994,winter,OTC,40,166,0.24096385542168675
Columbia South,2013,winter,OTC,1,5,0.2
Columbia South,2011,winter,OTC,1,1,1
Columbia South,2009,winter,OTC,2,11,0.18181818181818182
Columbia South,2008,winter,OTC,0,16,0
Columbia South,2007,winter,OTC,1,31,0.03225806451612903
Columbia South,2006,winter,OTC,1,25,0.04
Columbia South,2004,winter,OTC,6,32,0.1875
Columbia South,2002,winter,OTC,5,24,0.20833333333333334
Columbia South,1997,winter,OTC,14,79,0.17721518987341772
Columbia South,1996,winter,OTC,10,71,0.14084507042253522
Columbia South,1994,winter,OTC,13,92,0.14130434782608695
Duncan,2015,winter,OTC,0,1,0
Duncan,2012,winter,OTC,0,2,0
Duncan,2010,winter,OTC,0,7,0
Duncan,2008,winter,OTC,0,11,0
Duncan,2007,winter,OTC,1,8,0.125
Duncan,2002,winter,OTC,4,13,0.3076923076923077
Duncan,1999,winter,OTC,2,24,0.08333333333333333
Duncan,1997,winter,OTC,2,22,0.09090909090909091
Duncan,1996,winter,OTC,6,30,0.2
Duncan,1995,winter,OTC,4,20,0.2
Frisby-Boulder,2013,winter,OTC,1,10,0.1
Frisby-Boulder,2011,winter,OTC,0,2,0
Frisby-Boulder,2008,winter,OTC,1,11,0.09090909090909091
Frisby-Boulder,2006,winter,OTC,3,13,0.23076923076923078
