herd,year,est,sd
Columbia North,2014,1,0.09801043845451383
Columbia North,2015,0.8888888888888888,0.07407407407407407
Columbia North,2016,0.9,0.09486832980505137
Columbia North,2017,0.9444444444444444,0.05399029532264167
Columbia North,2018,0.8741258741258742,0.06818134796724673
Columbia North,1998,0.7859649122807016,0.09506708056397938
Columbia North,1999,0.7407407407407407,0.12948257384816683
Columbia North,2000,0.6349206349206349,0.1692176606978772
Columbia North,2001,1,0.0951203862896273
Columbia North,2002,0.7,0.14491376746189435
Columbia North,2003,0.8181818181818181,0.11629129983033294
Columbia North,2004,0.8181818181818181,0.11629129983033294
Columbia North,2005,0.9,0.09486832980505137
Columbia North,2006,1,0.10224049973691031
Columbia North,2007,1,0.15194133572808924
Columbia North,2019,1,0.05786293931389583
Columbia North,2008,1,0.2640004769074533
Columbia North,2009,0.6666666666666666,0.2721655269759087
Columbia North,2020,0.9166666666666666,0.07978559231302818
Columbia North,1991,1,0.28381546449154627
Columbia North,1992,0.6666666666666666,0.2721655269759087
Columbia North,1993,0.9,0.09486832980505137
Columbia North,1994,0.7777777777777777,0.13857990321384966
Columbia North,1995,0.7,0.14491376746189435
Columbia North,1996,0.7777777777777777,0.13857990321384966
Columbia North,1997,0.8184615384615385,0.09616048892241662
Hart North,2002,1,0.08651568819090596
Hart North,2003,1,0.05120643077628525
Hart North,2017,1,0.046122111291401265
Hart North,2018,0.74298128342246,0.10005098590214635
Hart North,2019,0.9473684210526315,0.05122781719918817
Hart North,2020,0.9285714285714286,0.0688302936899594
Hart North,2006,1,0.06133154517402453
Hart North,2007,0.8125,0.09757809372497497
Hart North,2008,0.95,0.04873397172404482
Hart North,2009,0.84,0.07332121111929343
Hart North,2010,0.8095238095238094,0.08568908674689879
Hart North,2011,0.8235294117647058,0.09245944094039714
Hart North,2012,1,0.059741915270521424
Hart North,2004,0.625,0.17116329922036438
Hart North,2005,0.6666666666666666,0.2721655269759087
Itcha-Ilgachuz,1996,0.9545454545454546,0.04440947367810884
Itcha-Ilgachuz,1997,0.7867494824016562,0.08449510134472746
Itcha-Ilgachuz,1998,0.9473684210526315,0.05122781719918817
Itcha-Ilgachuz,1999,0.8623188405797102,0.07422336778120896
Itcha-Ilgachuz,2000,0.9047619047619047,0.06405644848900469
Itcha-Ilgachuz,2001,0.894736842105263,0.07040590042736196
Itcha-Ilgachuz,2002,0.8666666666666667,0.08777074514725111
Itcha-Ilgachuz,2012,0.96,0.03919183588453085
Itcha-Ilgachuz,2013,0.9166666666666667,0.05641693336552751
Itcha-Ilgachuz,2014,0.6954545454545454,0.09567124163683455
Itcha-Ilgachuz,2015,0.9411764705882353,0.057067205890901876
