herd,year,treatment,applied,intensity
A La Peche,1973,reduce wolves,NA,NA
A La Peche,1974,reduce wolves,NA,NA
A La Peche,1975,reduce wolves,NA,NA
A La Peche,1976,reduce wolves,NA,NA
A La Peche,1977,reduce wolves,NA,NA
A La Peche,1978,reduce wolves,NA,NA
A La Peche,1979,reduce wolves,NA,NA
A La Peche,1980,reduce wolves,NA,NA
A La Peche,1981,reduce wolves,NA,NA
A La Peche,1982,reduce wolves,NA,NA
A La Peche,1983,reduce wolves,NA,NA
A La Peche,1984,reduce wolves,NA,NA
A La Peche,1985,reduce wolves,NA,NA
A La Peche,1986,reduce wolves,NA,NA
A La Peche,1987,reduce wolves,NA,NA
A La Peche,1988,reduce wolves,NA,NA
A La Peche,1989,reduce wolves,NA,NA
A La Peche,1990,reduce wolves,NA,NA
A La Peche,1991,reduce wolves,NA,NA
A La Peche,1992,reduce wolves,NA,NA
A La Peche,1993,reduce wolves,NA,NA
A La Peche,1994,reduce wolves,NA,NA
A La Peche,1995,reduce wolves,NA,NA
A La Peche,1996,reduce wolves,NA,NA
A La Peche,1997,reduce wolves,NA,NA
A La Peche,1998,reduce wolves,NA,NA
A La Peche,1999,reduce wolves,0,NA
A La Peche,2000,reduce wolves,0,NA
A La Peche,2001,reduce wolves,0,NA
A La Peche,2002,reduce wolves,0,NA
A La Peche,2003,reduce wolves,0,NA
A La Peche,2004,reduce wolves,0,NA
A La Peche,2005,reduce wolves,0,NA
A La Peche,2006,reduce wolves,0,NA
A La Peche,2007,reduce wolves,1,low
A La Peche,2008,reduce wolves,1,low
A La Peche,2009,reduce wolves,1,low
A La Peche,2010,reduce wolves,1,low
A La Peche,2011,reduce wolves,1,low
A La Peche,2012,reduce wolves,1,low
A La Peche,2013,reduce wolves,1,low
A La Peche,2014,reduce wolves,1,low
A La Peche,2015,reduce wolves,1,NA
A La Peche,2016,reduce wolves,1,NA
A La Peche,2017,reduce wolves,1,NA
A La Peche,2018,reduce wolves,1,NA
A La Peche,2019,reduce wolves,1,NA
A La Peche,2020,reduce wolves,1,NA
A La Peche,2021,reduce wolves,1,NA
A La Peche,2022,reduce wolves,1,NA
