ACTION,Herd,BC Herd,Year,Official Survey Timing,"Survey Count (KMB = SO, Total count) OTC",MinCount (KMB = Minimum # known alive),NFG,NFG-Reason,Use for trend? (KMB - BPV?),"Estimate (MC, eg JHE)","Parameter Method (JHE, mark resight etc)",LCL-90%,UCL-90%,CV,SCF,N collar available,N collars detected,"KMB = Observed sample count, OSC; Min count (survey for recruitment - cannot be used for trend analyses in the IPM or otherwise)",N. Calves (OTC),N. Calves (Min # Known Alive),N. Calves (OSC),Percent calves- free ranging (OTC),Percent calves- free ranging (Min # Known Alive),Percent calves- including penned calves,N. Adult F (OTC),N. Adult F (Min # Known Alive),N. Adult F (OSC),N. Adult M (OTC),N. Adult M (Min # Known Alive),N. Adult M (OSC),N. Adult (Sex Unclassified) (OTC),N. Adult (Sex Unclassified) (Min # Known Alive),N. Adult (Sex Unclassified) (OSC),Unclassified Life Stage and Sex (OTC),Unclassified Life Stage and Sex (Min # Known Alive),Unclassified Life Stage and Sex (OSC),Yrling - Unclas Sex (OTC),Yrling - Unclas Sex (Min # Known Alive),Yrling - Unclas Sex (OSC),Who entered the data?,Relevant Notes in Original Data,Notes in Original Data on MNKA/ Estimate/ Parameter Method,Survey Type (s),Additional Notes
,A La Peche,,2005,Winter,,,,NA,NA,,,,,,,,,63,,,9,,,,,,38.75,,,15.25,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2011,Winter,,,,NA,NA,,,,,,,,,66,,,12,,,,,,47.3,,,6.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2010,Winter,,,,NA,NA,,,,,,,,,68,,,5,,,,,,59,,,4,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2020,Winter,,,,NA,NA,,,,,,,,,70,,,18,,,,,,36.55,,,15.45,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2006,Winter,,,,NA,NA,,,,,,,,,71,,,7,,,,,,61,,,3,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2013,Winter,,,,NA,NA,,,,,,,,,77,,,10,,,,,,53,,,14,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2014,Winter,,,,NA,NA,,,,,,,,,78,,,7,,,,,,48.85,,,22.15,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2016,Winter,,,,NA,NA,,,,,,,,,78,,,14,,,,,,44.15,,,19.85,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2007,Winter,,,,NA,NA,,,,,,,,,84,,,9,,,,,,65,,,10,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2015,Winter,,,,NA,NA,,,,,,,,,84,,,22,,,,,,42.3,,,19.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2019,Winter,,,,NA,NA,,,,,,,,,87,,,22,,,,,,46.6,,,18.4,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2018,Winter,,,,NA,NA,,,,,,,,,91,,,18,,,,,,39.3,,,33.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2009,Winter,,,,NA,NA,,,,,,,,,92,,,18,,,,,,60.3,,,13.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2002,Winter,,,,NA,NA,,,,,,,,,95,,,12,,,,,,66.9,,,16.1,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2017,Winter,,,,NA,NA,,,,,,,,,96,,,19,,,,,,54.15,,,22.85,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2008,Winter,,,,NA,NA,,,,,,,,,97,,,9,,,,,,82,,,6,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2004,Winter,,,,NA,NA,,,,,,,,,99,,,4,,,,,,68.8,,,26.2,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2012,Winter,,,,NA,NA,,,,,,,,,103,,,13,,,,,,83,,,7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,2003,Winter,,,,NA,NA,,,,,,,,,104,,,10,,,,,,66.9,,,27.1,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,A La Peche,,1999,Winter,,,,NA,NA,,,,,,,,,116,,,17,,,,,,67.75,,,31.25,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
