id,herd,year,enter.date,exit.date,event,enter,exit,time
1,Columbia North,2014,2014-04-24,2014-12-31,0,3,12,251
1,Columbia North,2015,2015-04-16,2015-12-30,0,3,12,258
1,Columbia North,2016,2016-01-01,2016-01-19,0,0,1,18
1,Columbia North,2017,2017-04-05,2017-11-29,0,3,11,238
1,Hart North,2002,2002-01-07,2002-12-31,0,0,12,358
1,Hart North,2003,2003-01-01,2003-12-30,0,0,12,363
1,Itcha-Ilgachuz,1996,1996-05-20,1996-12-31,0,4,12,225
1,Itcha-Ilgachuz,1997,1997-01-01,1997-12-31,0,0,12,364
1,Itcha-Ilgachuz,1998,1998-01-01,1998-12-31,0,0,12,364
1,Itcha-Ilgachuz,1999,1999-01-01,1999-12-31,0,0,12,364
1,Itcha-Ilgachuz,2000,2000-01-01,2000-12-31,0,0,12,365
1,Itcha-Ilgachuz,2001,2001-01-01,2001-12-31,0,0,12,364
1,Itcha-Ilgachuz,2002,2002-01-01,2002-09-16,1,0,9,258
1,Itcha-Ilgachuz,2012,2012-07-02,2012-12-31,0,6,12,182
1,Itcha-Ilgachuz,2013,2013-01-01,2013-12-31,0,0,12,364
1,Itcha-Ilgachuz,2014,2014-01-01,2014-12-31,0,0,12,364
1,Itcha-Ilgachuz,2015,2015-01-01,2015-04-02,0,0,4,91
1,Maligne,2002,2002-01-09,2002-12-31,0,0,12,356
1,Maligne,2003,2003-01-01,2003-12-31,0,0,12,364
1,Maligne,2004,2004-01-01,2004-12-31,0,0,12,365
1,Maligne,2005,2005-01-01,2005-12-31,0,0,12,364
1,Maligne,2006,2006-01-01,2006-12-31,0,0,12,364
1,Maligne,2007,2007-01-01,2007-12-04,1,0,12,337
10,Brazeau,2003,2003-01-11,2003-12-31,0,0,12,354
10,Brazeau,2004,2004-01-01,2004-12-31,0,0,12,365
10,Brazeau,2005,2005-01-01,2005-10-21,0,0,10,293
10,Columbia North,2014,2014-04-24,2014-11-16,0,3,11,206
10,Columbia South,1991,1991-12-03,1991-12-31,0,11,12,28
10,Columbia South,1992,1992-01-01,1992-12-31,0,0,12,365
10,Columbia South,1993,1993-01-01,1993-12-31,0,0,12,364
10,Columbia South,1994,1994-01-01,1994-12-31,0,0,12,364
10,Columbia South,1995,1995-01-01,1995-12-31,0,0,12,364
10,Columbia South,1996,1996-01-01,1996-12-31,0,0,12,365
10,Columbia South,1997,1997-01-01,1997-12-31,0,0,12,364
10,Columbia South,1998,1998-01-01,1998-01-28,1,0,1,27
10,Itcha-Ilgachuz,1996,1996-05-25,1996-12-31,0,4,12,220
10,Itcha-Ilgachuz,1997,1997-01-01,1997-12-31,0,0,12,364
10,Itcha-Ilgachuz,1998,1998-01-01,1998-12-31,0,0,12,364
10,Itcha-Ilgachuz,1999,1999-01-01,1999-12-31,0,0,12,364
10,Itcha-Ilgachuz,2000,2000-01-01,2000-12-31,0,0,12,365
10,Itcha-Ilgachuz,2001,2001-01-01,2001-12-31,0,0,12,364
10,Itcha-Ilgachuz,2002,2002-01-01,2002-11-14,0,0,11,317
10,Wells Gray North,1985,1985-12-28,1985-12-31,0,11,12,3
10,Wells Gray North,1986,1986-01-01,1986-12-31,0,0,12,364
10,Wells Gray North,1987,1987-01-01,1987-12-31,0,0,12,364
10,Wells Gray North,1988,1988-01-01,1988-12-16,0,0,12,350
100,Columbia North,2018,2018-03-13,2018-12-29,0,2,12,291
101,Columbia North,1998,1998-12-30,1998-12-31,0,11,12,1
101,Columbia North,1999,1999-01-01,1999-12-31,0,0,12,364
101,Columbia North,2000,2000-01-01,2000-12-31,0,0,12,365
101,Columbia North,2001,2001-01-01,2001-12-31,0,0,12,364
101,Columbia North,2002,2002-01-01,2002-12-31,0,0,12,364
101,Columbia North,2003,2003-01-01,2003-12-31,0,0,12,364
101,Columbia North,2004,2004-01-01,2004-12-31,0,0,12,365
101,Columbia North,2005,2005-01-01,2005-12-31,0,0,12,364
101,Columbia North,2006,2006-01-01,2006-12-31,0,0,12,364
101,Columbia North,2007,2007-01-01,2007-06-10,0,0,6,160
102,Wells Gray South,1998,1998-12-30,1998-12-31,0,11,12,1
102,Wells Gray South,1999,1999-01-01,1999-12-31,0,0,12,364
102,Wells Gray South,2000,2000-01-01,2000-12-31,0,0,12,365
102,Wells Gray South,2001,2001-01-01,2001-12-31,0,0,12,364
102,Wells Gray South,2002,2002-01-01,2002-12-31,0,0,12,364
102,Wells Gray South,2003,2003-01-01,2003-12-31,0,0,12,364
102,Wells Gray South,2004,2004-01-01,2004-12-31,0,0,12,365
102,Wells Gray South,2005,2005-01-01,2005-12-31,0,0,12,364
102,Wells Gray South,2006,2006-01-01,2006-12-31,0,0,12,364
102,Wells Gray South,2007,2007-01-01,2007-02-02,0,0,2,32
104,Columbia North,1999,1999-01-20,1999-12-31,0,0,12,345
104,Columbia North,2000,2000-01-01,2000-12-31,0,0,12,365
104,Columbia North,2001,2001-01-01,2001-12-31,0,0,12,364
104,Columbia North,2002,2002-01-01,2002-12-31,0,0,12,364
104,Columbia North,2003,2003-01-01,2003-03-25,1,0,3,83
105,Columbia North,1999,1999-01-20,1999-09-02,0,0,9,225
107,Frisby-Boulder,1999,1999-11-18,1999-12-31,0,10,12,43
107,Frisby-Boulder,2000,2000-01-01,2000-12-31,0,0,12,365
107,Frisby-Boulder,2001,2001-01-01,2001-12-31,0,0,12,364
107,Frisby-Boulder,2002,2002-01-01,2002-12-31,0,0,12,364
107,Frisby-Boulder,2003,2003-01-01,2003-08-03,1,0,8,214
108,Columbia South,1999,1999-12-29,1999-12-31,0,11,12,2
108,Columbia South,2000,2000-01-01,2000-12-31,0,0,12,365
108,Columbia South,2001,2001-01-01,2001-12-31,0,0,12,364
