herd,treatment,application,start,end
Kennedy Siding,feed,standard,2015,2023
Columbia North,pen,low,2015,2019
Klinse-Za,pen,standard,2015,2023
Columbia North,reduce moose,standard,2005,2023
Columbia South,reduce moose,low,2008,2023
Columbia South,reduce moose,standard,2005,2007
Frisby-Boulder,reduce moose,low,2005,2023
Groundhog,reduce moose,low,2018,2019
Groundhog,reduce moose,standard,2020,2022
Hart North,reduce moose,low,2007,2023
Narrow Lake,reduce moose,low,2023,2023
A La Peche,reduce wolves,low,2007,2014
A La Peche,reduce wolves,standard,2015,2023
Barkerville,reduce wolves,low,2002,2005
Barkerville,reduce wolves,standard,2006,2012
Charlotte Alplands,reduce wolves,low,2023,2023
Columbia North,reduce wolves,standard,2018,2023
Graham,reduce wolves,standard,2021,2023
Groundhog,reduce wolves,low,2018,2023
Groundhog,reduce wolves,standard,2020,2022
Hart North,reduce wolves,standard,2021,2023
Hart South,reduce wolves,standard,2021,2023
Itcha-Ilgachuz,reduce wolves,standard,2020,2023
Kennedy Siding,reduce wolves,standard,2016,2023
Klinse-Za,reduce wolves,standard,2014,2023
Nakusp,reduce wolves,low,2021,2023
Nakusp,reduce wolves,standard,2022,2022
Narraway AB,reduce wolves,low,2017,2018
Narraway AB,reduce wolves,standard,2019,2023
Narraway BC,reduce wolves,standard,2023,2023
North Cariboo,reduce wolves,standard,2023,2023
Quintette,reduce wolves,low,2016,2016
Quintette,reduce wolves,standard,2017,2023
Quintette Full,reduce wolves,standard,2022,2023
Rainbows,reduce wolves,low,2023,2023
Redrock/Prairie Creek,reduce wolves,low,2016,2016
Redrock/Prairie Creek,reduce wolves,standard,2017,2023
South Selkirks,reduce wolves,low,2016,2019
Tweedsmuir,reduce wolves,standard,2021,2023
Wells Gray North,reduce wolves,low,2002,2005
Wells Gray North,reduce wolves,standard,2006,2012
Barkerville,sterilize wolves,low,2002,2005
Barkerville,sterilize wolves,standard,2006,2012
Wells Gray North,sterilize wolves,low,2002,2005
Wells Gray North,sterilize wolves,standard,2006,2012
Charlotte Alplands,transplant,low,2015,2022
Charlotte Alplands,transplant,standard,1992,2014
Purcells South,transplant,low,2013,2022
South Selkirks,transplant,low,2014,2022
South Selkirks,transplant,standard,1988,2013
Telkwa,transplant,low,2010,2022
Telkwa,transplant,standard,2000,2021
