herd,year,recovery.action.yrplus1,lambda,lambda.lower,lambda.upper,recruitment.per.adult,recruitment.per.adult.lower,recruitment.per.adult.upper,survival,survival.lower,survival.upper,totAdultsF,totAdultsF.lower,totAdultsF.upper,totAdultsMF,totAdultsMF.lower,totAdultsMF.upper,totCalvesF,totCalvesF.lower,totCalvesF.upper,totCalvesMF,totCalvesMF.lower,totCalvesMF.upper,totPopF,totPopF.lower,totPopF.upper,totPopMF,totPopMF.lower,totPopMF.upper,.width,.point,.interval,quality
Quintette Full,1973,Reference,1,1,1,0.1,0.1,0.1,0.909491060175142,0.8056503760120699,0.9633994211154437,79.01549654045812,43.4163071118537,119.74650307915007,123.04079949462457,61.60633444002607,241.01563555590127,26.464917666077465,4.979005578921125,75.32914161213812,52.92983533215493,9.95801115784225,150.65828322427623,109.23796638756917,65.66954160183063,169.97471322922712,192.90083751519649,93.8162869923085,327.18359484686056,0.9,median,qi,low
Quintette Full,1974,Reference,0.9844399897913254,0.6495549608834099,1.5142923068229406,0.1620803259919893,0.0556860838556451,0.3078982267618334,0.9149774203474004,0.8371976109309651,0.9595413706001331,98.5,59.95,156.45,161.47150158979767,85.2628897369186,310.1850357095581,12,4,33.39999999999998,24,8,66.79999999999995,110,69.79999999999998,179.3,181.71457845337343,101.57605957103328,341.71725975394014,0.9,median,qi,low
Quintette Full,1975,Reference,0.9698098552107004,0.6323321262344658,1.400337666712899,0.15340640498965213,0.08463604539033166,0.29168460229839477,0.9092863071414435,0.8288415396422132,0.9613924612303935,99,62.8,165.69999999999993,149.78848171231957,83.22677539146942,247.70770368710276,12,4.949999999999999,27,24,9.899999999999999,54,113,67.85,182.29999999999998,174.1307474267441,98.73649742507929,299.7790501925797,0.9,median,qi,low
Quintette Full,1976,Reference,1.0933117402028474,0.73331669363945,1.5657943212933243,0.16549654544903336,0.08415797534889341,0.2940194971400971,0.9134290635712677,0.8237802919206273,0.9600320081451807,99.5,60.95,172.1,165.25216725632683,94.81582857268091,256.9672704568825,13,4.949999999999999,30,26,9.899999999999999,60,113,70.89999999999999,202,188.85514359669847,111.05360261556308,296.0992297048649,0.9,median,qi,low
Quintette Full,1977,Reference,1.0065946900712441,0.6988345393177681,1.6783890242817392,0.14102770392567274,0.0572720249932195,0.2677491950224872,0.9123398383785786,0.82776634038606145,0.9612849813537923,103,61.9,173.04999999999998,166.8566153591464,92.9196525368572,316.07610380948944,11.5,3,32.099999999999994,23,6,64.19999999999999,115,72.9,193.14999999999998,186.81483935103404,110.90894232995834,372.4761038094894,0.9,median,qi,low
Quintette Full,1978,Reference,0.994363089245951,0.6535001779055869,1.6487080935556446,0.14104990879971596,0.07421938027883268,0.2836331105541546,0.922538188712358,0.8201358336407331,0.9547602348348034,104,66,178.25,165.12794400369592,100.24176228403806,330.17519009623663,12.5,4,33.05,25,8,66.1,118,73,204.1,190.10464001997013,110.5120918413017,394.65010658745814,0.9,median,qi,low
Quintette Full,1979,Reference,0.9739187641792304,0.6394918914114041,1.4292966608021045,0.14496863668183876,0.06613864503636013,0.2801188133946173,0.9059868160381899,0.8182866193017688,0.9600676665712595,107.5,69.89999999999999,186,162.5380915561774,97.08055088196672,299.9553480231558,12,4,26,24,8,52,117,76.95,214.1,187.43688126185302,111.08338248326903,334.55064750887783,0.9,median,qi,low
Quintette Full,1980,Reference,1.0155140436891725,0.6351004697594335,1.6522500880472666,0.14083582743793055,0.06767020252723334,0.26184252725292645,0.9080922553483213,0.8238237570731193,0.9590996492324604,105,67.9,190.25,164.95118532207078,97.02157859325592,308.8036160921612,11,4,24.049999999999997,22,8,48.099999999999994,122,71.9,201.54999999999995,189.60187397987818,109.27276947093247,344.9249365580467,0.9,median,qi,low
Quintette Full,1981,Reference,0.9907078572959981,0.6704295866431916,1.6518124627184023,0.13764703741483664,0.07787299685812665,0.3299637287576976,0.9044854978628369,0.824372520929605,0.960063335785209,112,66.89999999999999,185.2,175.46658066385405,99.76671046773869,271.58293281119654,12.5,4,33.099999999999994,25,8,66.19999999999999,125,73,208.64999999999998,205.02010118843367,109.62518688451544,329.83450693962385,0.9,median,qi,low
Quintette Full,1982,Reference,1.022757675911329,0.7014807114078094,1.7446097392930902,0.14853979625645383,0.06747697459024324,0.2624140430634315,0.9109719621280075,0.803391322642632,0.96631841991935985,112.5,63.95,181.2,180.2787379902167,98.69858233747216,324.7262447336805,14,3,40.05,28,6,80.1,126,72,205.09999999999994,208.2003498158702,118.67932571642581,400.69117754059965,0.9,median,qi,low
