herd,year,totAdultsF,totPopMF
Banff,1996,9,12.957358337141269
Brazeau,1996,12,16.085610247556012
Burnt Pine,2003,11,18.087504854915274
Central Rockies,1998,11,17.625004772938325
Columbia South,2009,12,17.09849628330938
Duncan,2003,12,19.49234047370301
Frisby-Boulder,2005,10.5,18.1798272138615
George Mountain,1987,12,17.881281741254558
Groundhog,2009,10,17.293404303182957
Maligne,2005,9,13.073190627321564
Monashee,1990,12,19.032605159458644
Narrow Lake,2018,11,17.803254124414494
Purcells Central,1995,11,17.339581075034523
Purcells South,2003,13,17.19041698450491
South Selkirks,2015,12,17.853318769913585
Telkwa,2012,10,14.091166094602574
