yrs,.variable,LCL,UCL,mean
1973,Status quo,9337.197210546907,11186.754102088495,10209.618066812342
1973,With recovery actions,9337.197210546907,11186.754102088495,10209.618066812342
1974,Status quo,8659.671685587835,10924.687376974132,9746.777524966756
1974,With recovery actions,8659.671685587835,10924.687376974132,9746.777524966756
1975,Status quo,8438.63899795943,10916.250927912703,9607.330298287468
1975,With recovery actions,8438.63899795943,10916.250927912703,9607.330298287468
1976,Status quo,8269.235128628343,10888.365317918953,9491.385012067689
1976,With recovery actions,8269.235128628343,10888.365317918953,9491.385012067689
1977,Status quo,8145.093043279507,10769.25707923955,9379.36645690689
1977,With recovery actions,8145.093043279507,10769.25707923955,9379.36645690689
1978,Status quo,7955.329532941451,10653.626782809486,9233.004970607752
1978,With recovery actions,7955.329532941451,10653.626782809486,9233.004970607752
1979,Status quo,7881.476205693918,10646.060230527237,9210.510712936486
1979,With recovery actions,7881.476205693918,10646.060230527237,9210.510712936486
1980,Status quo,7697.901926233463,10449.754487326705,8979.753168378578
1980,With recovery actions,7697.901926233463,10449.754487326705,8979.753168378578
1981,Status quo,7542.60943005947,10273.56682797185,8832.492039005618
1981,With recovery actions,7542.60943005947,10273.56682797185,8832.492039005618
1982,Status quo,7743.603148788807,10357.973185277162,8976.089941258839
1982,With recovery actions,7743.603148788807,10357.973185277162,8976.089941258839
1983,Status quo,7631.665146117515,10207.776515957079,8833.486165825998
1983,With recovery actions,7631.665146117515,10207.776515957079,8833.486165825998
1984,Status quo,7838.644054403903,10403.800369592262,9052.99014173336
1984,With recovery actions,7838.644054403903,10403.800369592262,9052.99014173336
1985,Status quo,7657.177109426488,10068.302108640055,8795.111713913791
1985,With recovery actions,7657.177109426488,10068.302108640055,8795.111713913791
1986,Status quo,7900.258996320284,10259.961579880626,9026.181433035354
1986,With recovery actions,7900.258996320284,10259.961579880626,9026.181433035354
1987,Status quo,7887.056678790151,10223.994650572262,8990.605903629448
1987,With recovery actions,7887.056678790151,10223.994650572262,8990.605903629448
1988,Status quo,7764.43291361681,10066.998440292402,8857.610622795259
1988,With recovery actions,7764.43291361681,10066.998440292402,8857.610622795259
1989,Status quo,8159.588923618209,10339.22417430775,9189.382158685718
1989,With recovery actions,8159.588923618209,10339.22417430775,9189.382158685718
1990,Status quo,8111.079607777031,10371.999681429807,9188.715212015759
1990,With recovery actions,8111.079607777031,10371.999681429807,9188.715212015759
1991,Status quo,8521.955007393231,10941.605250477249,9646.414808642483
1991,With recovery actions,8521.955007393231,10941.605250477249,9646.414808642483
1992,Status quo,8338.440483456794,10615.324436355273,9402.880181070323
1992,With recovery actions,8338.440483456794,10615.324436355273,9402.880181070323
1993,Status quo,8688.239793546403,11268.38541460565,9895.500237220669
1993,With recovery actions,8688.239793546403,11268.38541460565,9895.500237220669
1994,Status quo,8571.259619754259,10738.07812010552,9587.488529781425
1994,With recovery actions,8571.259619754259,10738.07812010552,9587.488529781425
1995,Status quo,9244.943213219993,11466.537074348033,10290.651685089642
1995,With recovery actions,9244.943213219993,11466.537074348033,10290.651685089642
1996,Status quo,8791.686462756647,10879.89348189469,9787.428393625849
1996,With recovery actions,8791.686462756647,10879.89348189469,9787.428393625849
1997,Status quo,8066.814738719176,9763.520892497703,8873.132466625157
1997,With recovery actions,8066.814738719176,9763.520892497703,8873.132466625157
1998,Status quo,8493.435279940195,10301.867459078763,9352.935114678601
1998,With recovery actions,8493.435279940195,10301.867459078763,9352.935114678601
1999,Status quo,8091.441502970774,9799.870535601758,8905.215930809083
1999,With recovery actions,8091.441502970774,9799.870535601758,8905.215930809083
2000,Status quo,8069.057936291567,9891.413631055662,8929.128509106577
2000,With recovery actions,8069.057936291567,9891.413631055662,8929.128509106577
2001,Status quo,7923.282842627581,9604.466239967333,8721.501465424875
2001,With recovery actions,7923.282842627581,9604.466239967333,8721.501465424875
2002,Status quo,8443.846231298447,9903.566316159995,9131.893292778099
2002,With recovery actions,8443.925528316317,9907.512497956048,9131.236040909453
2003,Status quo,8383.787484699697,10564.59981205067,9362.486839865003
2003,With recovery actions,8391.902779928445,10573.004410498239,9369.214256531264
2004,Status quo,7292.273866228819,9891.352480859741,8465.936039078852
2004,With recovery actions,7317.74897606449,9925.145767143897,8494.67812911327
2005,Status quo,6723.520920478417,9387.645206455232,7921.9592564492905
2005,With recovery actions,6780.923942459171,9448.24430837401,7976.134999436614
2006,Status quo,6448.042388341893,8878.61027295822,7505.599765248895
